pair,canonical_asset_id,confidence_class,variant_d_presence,p2t_identity_classification,current_seed_only,restricted_claim
BONK,BONK,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BOSON,BOSON,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BRISE,BRISE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BTC,BTC,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BTT,BTT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
C98,C98,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CAKE,CAKE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CCD,CCD,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CELO,CELO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CELR,CELR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CERE,CERE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CETUS,CETUS,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CFG,CFG,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CFX,CFX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CGPT,CGPT,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CHR,CHR,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CHZ,CHZ,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CKB,CKB,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
COMP,COMP,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
COQ,COQ,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
COTI,COTI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CPOOL,CPOOL,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CREDI,CREDI,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CRO,CRO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CRV,CRV,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CSPR,CSPR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CTC,CTC,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CTSI,CTSI,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CVX,CVX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CWEB,CWEB,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
CYBER,CYBER,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DAG,DAG,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DAO,DAO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DASH,DASH,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DCK,DCK,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DCR,DCR,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DENT,DENT,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DEXE,DEXE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DGB,DGB,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DIA,DIA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DMTR,DMTR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DODO,DODO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DOGE,DOGE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DOT,DOT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DUSK,DUSK,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
DYDX,DYDX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
EDU,EDU,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
EGLD,EGLD,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ELON,ELON,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ENJ,ENJ,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ENS,ENS,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ERG,ERG,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ETC,ETC,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ETH,ETH,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ETHW,ETHW,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ETN,ETN,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
EUL,EUL,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
EWT,EWT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FET,FET,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FIDA,FIDA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FIL,FIL,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FITFI,FITFI,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FLIP,FLIP,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FLOKI,FLOKI,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FLOW,FLOW,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FLR,FLR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FLUX,FLUX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FORT,FORT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FORTH,FORTH,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
FTT,FTT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GAFI,GAFI,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GALAX,GALAX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GAS,GAS,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GHX,GHX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GLM,GLM,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GLMR,GLMR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GLQ,GLQ,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GMEE,GMEE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GMT,GMT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GMX,GMX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GODS,GODS,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GRAM,GRAM,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GRT,GRT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
GTC,GTC,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HAI,HAI,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HBAR,HBAR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HEART,HEART,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HFT,HFT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HIGH,HIGH,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HMND,HMND,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HNT,HNT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HTR,HTR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
HYDRA,HYDRA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ICP,ICP,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ICX,ICX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ID,ID,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ILV,ILV,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
IMX,IMX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
INJ,INJ,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
INSP,INSP,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
IOST,IOST,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
IOTA,IOTA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ISLM,ISLM,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ISP,ISP,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
JASMY,JASMY,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
JST,JST,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
JTO,JTO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KACE,KACE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KAS,KAS,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KAVA,KAVA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KCS,KCS,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KLV,KLV,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KNC,KNC,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KPOL,KPOL,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
KRL,KRL,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
