source,status,rows,columns,date_start,date_end,detail
reports\research\ams-rd01-overlay-results-v1.csv,READ,1,3,,,"status,component,reason"
reports\research\ams-rd01-trade-regime-attribution-v1.csv,READ,1,3,,,"status,component,reason"
reports\research\ams-v1-h01-volatility-breakout-trades.csv,READ,86,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
reports\research\ams-v1-h02-aggressive-reacceleration-trades.csv,READ,93,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
reports\research\ams-v1-h03-liquidity-sweep-reversal-trades.csv,READ,87,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
reports\research\ams-v1-h04-cross-sectional-rotation-trades.csv,READ,637,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
reports\research\ams-v1-h05-compression-expansion-trades.csv,READ,57,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
reports\research\multi-asset-daily-history-coverage-v1.csv,READ,40,15,,,"symbol,row_count,first_close_timestamp,last_close_timestamp,first_tradable_timestamp_proxy,history_present_in_research,present_at_research_start,eligible_at_research_start_proxy,missing_daily_candle_count,coverage_status,data_quality_status,parquet_path,parquet_sha256,metadata_path,metadata_sha256"
reports\research\multi-asset-daily-history-coverage-v2.csv,READ,40,16,,,"symbol,row_count,first_close_timestamp,last_close_timestamp,first_tradable_timestamp_proxy,history_present_in_research,present_at_research_start,eligible_at_research_start_proxy,missing_daily_candle_count,coverage_status,data_quality_status,backward_page_count,parquet_path,parquet_sha256,metadata_path,metadata_sha256"
reports\research\multi-asset-daily-history-coverage-v3.csv,READ,40,18,,,"symbol,exchange_symbol,status,row_count,research_row_count,pre_research_row_count,first_open_time,last_open_time,last_close_time,has_pre_2025_history,listing_age_90d_proxy,recent_at_research_start_proxy,eligible_at_research_start_proxy,covers_research_end_proxy,calendar_gap_count,quote_volume_source,test_period_accessed,holdout_period_accessed"
reports\research\trade-regime-attribution.csv,READ,1,3,,,"status,component,reason"
reports\research\trend-pullback-v1-development-enriched-trades.csv,READ,121,47,,,"signal_timestamp,entry_bar_timestamp,exit_bar_timestamp,exit_reason,entry_base_price,entry_price,exit_base_price,exit_price,stop_price,quantity,entry_notional,entry_fee,exit_fee,gross_pnl,net_pnl,initial_risk,r_multiple,holding_bars,slippage_cost,signal_close,signal_volume,1h_ema_fast,1h_ema_slow,1h_atr,1h_rsi,1h_volume_median,4h_close,4h_ema_fast,4h_ema_slow,1d_close,1d_ema_fast,1d_ema_slow,stop_distance_atr,base_price_gross_pnl,total_trade_fees,accounting_residual,volume_ratio,entry_extension_atr,one_hour_ema_spread_atr,four_hour_ema_spread_pct,daily_ema_spread_pct,signal_year,signal_quarter,rsi_bucket,stop_bucket,extension_bucket,holding_bucket"
reports\research\trend-pullback-v1-development-trades.csv,READ,121,19,,,"signal_timestamp,entry_bar_timestamp,exit_bar_timestamp,exit_reason,entry_base_price,entry_price,exit_base_price,exit_price,stop_price,quantity,entry_notional,entry_fee,exit_fee,gross_pnl,net_pnl,initial_risk,r_multiple,holding_bars,slippage_cost"
reports\research\trend-pullback-v1-development-trades.pre-strict-risk.csv,READ,121,19,,,"signal_timestamp,entry_bar_timestamp,exit_bar_timestamp,exit_reason,entry_base_price,entry_price,exit_base_price,exit_price,stop_price,quantity,entry_notional,entry_fee,exit_fee,gross_pnl,net_pnl,initial_risk,r_multiple,holding_bars,slippage_cost"
reports\research\trend-pullback-v2-validation-trades.csv,READ,40,19,,,"signal_timestamp,entry_bar_timestamp,exit_bar_timestamp,exit_reason,entry_base_price,entry_price,exit_base_price,exit_price,stop_price,quantity,entry_notional,entry_fee,exit_fee,gross_pnl,net_pnl,initial_risk,r_multiple,holding_bars,slippage_cost"
reports\research\volatility-compression-breakout-v1-validation-trades.csv,READ,23,19,,,"signal_timestamp,entry_bar_timestamp,exit_bar_timestamp,exit_reason,entry_base_price,entry_price,exit_base_price,exit_price,stop_price,quantity,entry_notional,entry_fee,exit_fee,gross_pnl,net_pnl,initial_risk,r_multiple,holding_bars,slippage_cost"
reports\research\walk-forward-results.csv,READ,1,3,,,"status,component,reason"
