pair,first_valid_open,last_valid_open,applicable_start,applicable_end,expected_applicable_pair_days,covered_pair_days,missing_pair_days,coverage_ratio,p0b_missing_calendar_day_count,documented_inactivity_boundary,boundary_status
AMP-USDT,2022-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1063,1063,0,1.0,0,True,EXACT_FULL_HISTORY
ANKR-USDT,2021-03-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1374,1374,0,1.0,0,True,EXACT_FULL_HISTORY
APE-USDT,2022-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1021,1021,0,1.0,0,True,EXACT_FULL_HISTORY
API3-USDT,2020-12-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,1462,1462,0,1.0,0,True,EXACT_FULL_HISTORY
APT-USDT,2022-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,805,805,0,1.0,0,True,EXACT_FULL_HISTORY
APT2L-USDT,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,187,187,0,1.0,0,True,EXACT_FULL_HISTORY
APT2S-USDT,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,187,187,0,1.0,0,True,EXACT_FULL_HISTORY
AR-USDT,2021-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1163,1163,0,1.0,0,True,EXACT_FULL_HISTORY
ARB-USDT,2023-03-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-03-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,650,650,0,1.0,0,True,EXACT_FULL_HISTORY
ARKM-USDT,2023-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,440,440,0,1.0,0,True,EXACT_FULL_HISTORY
ARPA-USDT,2019-07-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-07-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1997,1997,0,1.0,0,True,EXACT_FULL_HISTORY
ARTFI-USDT,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,198,198,0,1.0,0,True,EXACT_FULL_HISTORY
ARTY-USDT,2023-12-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-12-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,377,377,0,1.0,0,True,EXACT_FULL_HISTORY
ASTR-USDT,2022-01-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-01-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1077,1077,0,1.0,0,True,EXACT_FULL_HISTORY
ATA-USDT,2021-11-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1147,1147,0,1.0,0,True,EXACT_FULL_HISTORY
ATOM-USDT,2019-05-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-05-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2049,2049,0,1.0,0,True,EXACT_FULL_HISTORY
AUCTION-USDT,2023-12-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-12-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,391,391,0,1.0,0,True,EXACT_FULL_HISTORY
AUDIO-USDT,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,1148,1148,0,1.0,0,True,EXACT_FULL_HISTORY
AURORA-USDT,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,982,982,0,1.0,0,True,EXACT_FULL_HISTORY
AVA-USDT,2019-03-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-03-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2127,2127,0,1.0,0,True,EXACT_FULL_HISTORY
AVAX-USDT,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1398,1398,0,1.0,0,True,EXACT_FULL_HISTORY
AXS-USDT,2021-07-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-07-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1265,1265,0,1.0,0,True,EXACT_FULL_HISTORY
AZERO-USDT,2022-11-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-11-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,778,778,0,1.0,0,True,EXACT_FULL_HISTORY
BABYDOGE-USDT,2023-04-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-04-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,623,623,0,1.0,0,True,EXACT_FULL_HISTORY
BAL-USDT,2021-09-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1216,1216,0,1.0,0,True,EXACT_FULL_HISTORY
BAND-USDT,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,1195,1195,0,1.0,0,True,EXACT_FULL_HISTORY
BAT-USDT,2021-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1423,1423,0,1.0,0,True,EXACT_FULL_HISTORY
BAX-USDT,2021-04-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1364,1364,0,1.0,0,True,EXACT_FULL_HISTORY
BCH-USDT,2020-11-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-11-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1507,1507,0,1.0,0,True,EXACT_FULL_HISTORY
BCHSV-USDT,2018-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2147,45,0.979470802919708,75,True,EXACT_FULL_HISTORY
BDX-USDT,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,722,722,0,1.0,0,True,EXACT_FULL_HISTORY
BFC-USDT,2022-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,966,966,0,1.0,0,True,EXACT_FULL_HISTORY
BICO-USDT,2022-03-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-03-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,1013,1013,0,1.0,0,True,EXACT_FULL_HISTORY
BIGTIME-USDT,2023-10-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-10-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,447,447,0,1.0,0,True,EXACT_FULL_HISTORY
BLUR-USDT,2023-02-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-02-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,687,687,0,1.0,0,True,EXACT_FULL_HISTORY
BLUR2L-USDT,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,181,181,0,1.0,0,True,EXACT_FULL_HISTORY
BLUR2S-USDT,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,181,181,0,1.0,0,True,EXACT_FULL_HISTORY
BLZ-USDT,2023-03-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-03-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,672,672,0,1.0,0,True,EXACT_FULL_HISTORY
BNB-USDT,2019-06-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-06-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023,2023,0,1.0,0,True,EXACT_FULL_HISTORY
BNC-USDT,2022-03-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-03-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,1007,1007,0,1.0,0,True,EXACT_FULL_HISTORY
BOBA-USDT,2022-05-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,967,967,0,1.0,0,True,EXACT_FULL_HISTORY
BONK-USDT,2023-11-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,400,400,0,1.0,0,True,EXACT_FULL_HISTORY
BOSON-USDT,2021-04-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1363,1363,0,1.0,0,True,EXACT_FULL_HISTORY
BRISE-USDT,2022-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,978,978,0,1.0,0,True,EXACT_FULL_HISTORY
BTC-USDT,2017-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2192,0,1.0,7,True,EXACT_FULL_HISTORY
BTT-USDT,2019-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-08-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1975,1975,0,1.0,0,True,EXACT_FULL_HISTORY
C98-USDT,2021-09-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,1189,1189,0,1.0,0,True,EXACT_FULL_HISTORY
CAKE-USDT,2021-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,1411,1411,0,1.0,0,True,EXACT_FULL_HISTORY
CCD-USDT,2022-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,950,950,0,1.0,0,True,EXACT_FULL_HISTORY
CELO-USDT,2021-05-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-05-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,1330,1330,0,1.0,0,True,EXACT_FULL_HISTORY
CELR-USDT,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,982,982,0,1.0,0,True,EXACT_FULL_HISTORY
CERE-USDT,2021-11-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1150,1150,0,1.0,0,True,EXACT_FULL_HISTORY
CETUS-USDT,2023-05-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-05-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,602,602,0,1.0,0,True,EXACT_FULL_HISTORY
CFG-USDT,2021-07-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-07-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1267,1267,0,1.0,0,True,EXACT_FULL_HISTORY
CFX-USDT,2022-04-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1006,1006,0,1.0,0,True,EXACT_FULL_HISTORY
CFX2L-USDT,2023-02-23T00:00:00+00:00,2024-11-27T00:00:00+00:00,2023-02-23T00:00:00+00:00,2024-11-27T00:00:00+00:00,644,644,0,1.0,0,True,EXACT_FULL_HISTORY
CFX2S-USDT,2023-02-23T00:00:00+00:00,2024-11-27T00:00:00+00:00,2023-02-23T00:00:00+00:00,2024-11-27T00:00:00+00:00,644,644,0,1.0,0,True,EXACT_FULL_HISTORY
CGPT-USDT,2023-04-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-04-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,632,632,0,1.0,0,True,EXACT_FULL_HISTORY
CHR-USDT,2019-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2045,2045,0,1.0,0,True,EXACT_FULL_HISTORY
CHZ-USDT,2021-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1387,1387,0,1.0,0,True,EXACT_FULL_HISTORY
CKB-USDT,2020-09-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-09-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,1580,1580,0,1.0,0,True,EXACT_FULL_HISTORY
COMP-USDT,2020-06-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-06-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1650,1650,0,1.0,0,True,EXACT_FULL_HISTORY
COQ-USDT,2023-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,380,380,0,1.0,0,True,EXACT_FULL_HISTORY
COTI-USDT,2019-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2038,2038,0,1.0,0,True,EXACT_FULL_HISTORY
CPOOL-USDT,2021-10-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-10-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,1161,1161,0,1.0,0,True,EXACT_FULL_HISTORY
CREDI-USDT,2021-12-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-12-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1119,1119,0,1.0,0,True,EXACT_FULL_HISTORY
CRO-USDT,2020-07-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-07-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1644,1644,0,1.0,0,True,EXACT_FULL_HISTORY
CRV-USDT,2021-01-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-01-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,1441,1441,0,1.0,0,True,EXACT_FULL_HISTORY
CSPR-USDT,2022-06-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-06-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,917,917,0,1.0,0,True,EXACT_FULL_HISTORY
CTC-USDT,2022-01-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-01-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1084,1084,0,1.0,0,True,EXACT_FULL_HISTORY
CTSI-USDT,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1196,1196,0,1.0,0,True,EXACT_FULL_HISTORY
CVX-USDT,2022-02-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-02-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1064,1064,0,1.0,0,True,EXACT_FULL_HISTORY
CWEB-USDT,2021-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,1098,1098,0,1.0,0,True,EXACT_FULL_HISTORY
CYBER-USDT,2023-11-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,427,427,0,1.0,0,True,EXACT_FULL_HISTORY
DAG-USDT,2019-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1871,1871,0,1.0,0,True,EXACT_FULL_HISTORY
DAO-USDT,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1422,1422,0,1.0,0,True,EXACT_FULL_HISTORY
DASH-USDT,2018-09-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,1773,419,0.8088503649635036,534,True,EXACT_FULL_HISTORY
DCK-USDT,2023-07-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-07-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,531,531,0,1.0,0,True,EXACT_FULL_HISTORY
DCR-USDT,2023-11-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,406,406,0,1.0,0,True,EXACT_FULL_HISTORY
DENT-USDT,2023-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,404,404,0,1.0,0,True,EXACT_FULL_HISTORY
DEXE-USDT,2021-09-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,1192,1192,0,1.0,0,True,EXACT_FULL_HISTORY
DGB-USDT,2020-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1694,1694,0,1.0,0,True,EXACT_FULL_HISTORY
DIA-USDT,2020-08-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-08-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,1597,1597,0,1.0,0,True,EXACT_FULL_HISTORY
DMTR-USDT,2021-09-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1197,1197,0,1.0,0,True,EXACT_FULL_HISTORY
DODO-USDT,2021-04-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1366,1366,0,1.0,0,True,EXACT_FULL_HISTORY
DOGE-USDT,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1422,1422,0,1.0,0,True,EXACT_FULL_HISTORY
DOT-USDT,2020-08-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-08-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,1594,1594,0,1.0,0,True,EXACT_FULL_HISTORY
DUSK-USDT,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,964,964,0,1.0,0,True,EXACT_FULL_HISTORY
DYDX-USDT,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1210,1210,0,1.0,0,True,EXACT_FULL_HISTORY
EDU-USDT,2023-05-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-05-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,581,581,0,1.0,0,True,EXACT_FULL_HISTORY
EGLD-USDT,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1205,1205,0,1.0,0,True,EXACT_FULL_HISTORY
ELON-USDT,2021-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,1314,1314,0,1.0,0,True,EXACT_FULL_HISTORY
ENJ-USDT,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1386,1386,0,1.0,0,True,EXACT_FULL_HISTORY
ENS-USDT,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,1148,1148,0,1.0,0,True,EXACT_FULL_HISTORY
ERG-USDT,2021-08-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-08-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,1245,1245,0,1.0,0,True,EXACT_FULL_HISTORY
ETC-USDT,2018-01-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2164,28,0.9872262773722628,274,True,EXACT_FULL_HISTORY
ETH-USDT,2017-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2192,2192,0,1.0,16,True,EXACT_FULL_HISTORY
ETHW-USDT,2022-09-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-09-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,828,828,0,1.0,0,True,EXACT_FULL_HISTORY
ETN-USDT,2019-07-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-07-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2002,2002,0,1.0,0,True,EXACT_FULL_HISTORY
EUL-USDT,2022-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,798,798,0,1.0,0,True,EXACT_FULL_HISTORY
EWT-USDT,2020-08-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-08-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1589,1589,0,1.0,0,True,EXACT_FULL_HISTORY
FET-USDT,2023-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,681,681,0,1.0,0,True,EXACT_FULL_HISTORY
FIDA-USDT,2022-07-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-07-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,894,894,0,1.0,0,True,EXACT_FULL_HISTORY
FIL-USDT,2020-10-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-10-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1539,1539,0,1.0,0,True,EXACT_FULL_HISTORY
FITFI-USDT,2022-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,971,971,0,1.0,0,True,EXACT_FULL_HISTORY
FLIP-USDT,2023-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,405,405,0,1.0,0,True,EXACT_FULL_HISTORY
FLOKI-USDT,2023-02-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-02-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,684,684,0,1.0,0,True,EXACT_FULL_HISTORY
FLOW-USDT,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1205,1205,0,1.0,0,True,EXACT_FULL_HISTORY
FLR-USDT,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,722,722,0,1.0,0,True,EXACT_FULL_HISTORY
FLUX-USDT,2021-04-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,1370,1370,0,1.0,0,True,EXACT_FULL_HISTORY
FORT-USDT,2022-06-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-06-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,922,922,0,1.0,0,True,EXACT_FULL_HISTORY
FORTH-USDT,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1350,1350,0,1.0,0,True,EXACT_FULL_HISTORY
