feature_id,landmark_age_hours,period_id,universe_id,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,time_failure_event_count,max_hold_non_event_count,support_pass,auc_of_negative_channel,time_failure_median_channel,max_hold_median_channel,non_event_minus_event_median_channel_spread,lopo_complete,lopo_evaluated_pair_count,lopo_minimum_auc,lopo_maximum_auc,cell_outcome
PATH_POSITION,24,ROBUSTNESS_2022,E2,45,45,8,22,24,21,True,0.6507936507936508,0.4580315621669963,0.6218563032773864,0.16382474111039008,True,8,0.6163682864450127,0.7138888888888889,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,24,ROBUSTNESS_2023,C2,124,124,12,69,64,60,True,0.7640625,0.27668131759048503,0.6039951673285993,0.3273138497381142,True,12,0.7310317141710156,0.7884615384615384,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,24,ROBUSTNESS_2023,D2,127,127,12,69,67,60,True,0.7751243781094528,0.2840236686390543,0.6258169164869632,0.34179324784790893,True,12,0.7399691358024691,0.8001955671447197,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,24,ROBUSTNESS_2023,E2,126,126,14,71,66,60,True,0.7659090909090909,0.27668131759048503,0.6355299939780086,0.35884867638752355,True,14,0.7272012578616353,0.7904509283819628,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,48,ROBUSTNESS_2022,C2,45,45,8,22,24,21,True,0.748015873015873,0.35602274727254735,0.6755548373195438,0.31953209004699645,True,8,0.6982097186700768,0.7918660287081339,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,48,ROBUSTNESS_2022,D2,45,45,8,22,24,21,True,0.748015873015873,0.35602274727254735,0.6755548373195438,0.31953209004699645,True,8,0.6982097186700768,0.7918660287081339,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,48,ROBUSTNESS_2022,E2,45,45,8,22,24,21,True,0.748015873015873,0.35602274727254735,0.6755548373195438,0.31953209004699645,True,8,0.6982097186700768,0.7918660287081339,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,48,ROBUSTNESS_2023,C2,124,124,12,69,64,60,True,0.8184895833333333,0.3142396513151394,0.6153356842247284,0.301096032909589,True,12,0.7892412685668406,0.8378607809847198,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,48,ROBUSTNESS_2023,D2,127,127,12,69,67,60,True,0.8318407960199005,0.29947145877378417,0.6264879870785387,0.32701652830475453,True,12,0.8040123456790124,0.8525686136523575,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,48,ROBUSTNESS_2023,E2,126,126,14,71,66,60,True,0.8444444444444444,0.309310964734801,0.6264879870785387,0.3171770223437377,True,14,0.8195754716981132,0.8678839957035446,QUALIFIED_EXPECTED_DIRECTION
